,AP689,AG083,AZ649,CA186,CA969,AP707
243,1040.375,1039.875,1039.675,1039.875,1039.75,1039.925
244,1040.3,1039.875,1039.875,1039.75,1039.8,1039.925
245,1040.425,1039.75,1039.875,1039.8,1039.75,1039.925
246,1040.625,1039.8,1039.75,1039.75,1039.925,1040.05
247,1040.625,1039.75,1039.8,1039.925,1039.925,1040.25
248,1040.75,1039.925,1039.75,1039.925,1039.925,1040.175
249,1040.675,1039.925,1039.925,1039.925,1040.05,1040.3
250,1040.75,1039.925,1039.925,1040.05,1040.25,1040.3
251,1040.875,1040.05,1039.925,1040.25,1040.175,1040.25
252,1040.925,1040.25,1040.05,1040.175,1040.3,1040.125
253,1041.05,1040.175,1040.25,1040.3,1040.3,1040.375
254,1041.0,1040.3,1040.175,1040.3,1040.25,1040.3
255,1041.0,1040.3,1040.3,1040.25,1040.125,1040.425
256,1041.0,1040.25,1040.3,1040.125,1040.375,1040.625
257,1041.125,1040.125,1040.25,1040.375,1040.3,1040.625
258,1041.3,1040.375,1040.125,1040.3,1040.425,1040.75
259,1041.125,1040.3,1040.375,1040.425,1040.625,1040.675
260,1041.125,1040.425,1040.3,1040.625,1040.625,1040.75
261,1041.125,1040.625,1040.425,1040.625,1040.75,1040.875
262,1041.175,1040.625,1040.625,1040.75,1040.675,1040.925
263,1041.375,1040.75,1040.625,1040.675,1040.75,1041.05
264,1041.55,1040.675,1040.75,1040.75,1040.875,1041.0
265,1041.425,1040.75,1040.675,1040.875,1040.925,1041.0
266,1041.5,1040.875,1040.75,1040.925,1041.05,1041.0
267,1041.625,1040.925,1040.875,1041.05,1041.0,1041.125
268,1041.675,1041.05,1040.925,1041.0,1041.0,1041.3
269,1041.5,1041.0,1041.05,1041.0,1041.0,1041.125
270,1041.75,1041.0,1041.0,1041.0,1041.125,1041.125
271,1041.55,1041.0,1041.0,1041.125,1041.3,1041.125
272,1041.5,1041.125,1041.0,1041.3,1041.125,1041.175
273,1041.825,1041.3,1041.125,1041.125,1041.125,1041.375
274,1041.75,1041.125,1041.3,1041.125,1041.125,1041.55
275,1042.025,1041.125,1041.125,1041.125,1041.175,1041.425
276,1041.825,1041.125,1041.125,1041.175,1041.375,1041.5
277,1041.875,1041.175,1041.125,1041.375,1041.55,1041.625
278,1041.95,1041.375,1041.175,1041.55,1041.425,1041.675
279,1041.875,1041.55,1041.375,1041.425,1041.5,1041.5
280,1042.075,1041.425,1041.55,1041.5,1041.625,1041.75
281,1042.075,1041.5,1041.425,1041.625,1041.675,1041.55
282,1042.075,1041.625,1041.5,1041.675,1041.5,1041.5
283,1042.2,1041.675,1041.625,1041.5,1041.75,1041.825
284,1042.2,1041.5,1041.675,1041.75,1041.55,1041.75
285,1042.2,1041.75,1041.5,1041.55,1041.5,1042.025
286,1042.275,1041.55,1041.75,1041.5,1041.825,1041.825
287,1042.45,1041.5,1041.55,1041.825,1041.75,1041.875
288,1042.525,1041.825,1041.5,1041.75,1042.025,1041.95
289,1042.775,1041.75,1041.825,1042.025,1041.825,1041.875
290,1042.65,1042.025,1041.75,1041.825,1041.875,1042.075
291,1042.35,1041.825,1042.025,1041.875,1041.95,1042.075
292,1042.35,1041.875,1041.825,1041.95,1041.875,1042.075
293,1042.4,1041.95,1041.875,1041.875,1042.075,1042.2
294,1042.475,1041.875,1041.95,1042.075,1042.075,1042.2
295,1042.475,1042.075,1041.875,1042.075,1042.075,1042.2
296,1042.475,1042.075,1042.075,1042.075,1042.2,1042.275
297,1042.3,1042.075,1042.075,1042.2,1042.2,1042.45
298,1042.3,1042.2,1042.075,1042.2,1042.2,1042.525
299,1042.175,1042.2,1042.2,1042.2,1042.275,1042.775
300,1042.975,1042.2,1042.2,1042.275,1042.45,1042.65
301,1043.05,1042.275,1042.2,1042.45,1042.525,1042.35
302,1042.8,1042.45,1042.275,1042.525,1042.775,1042.35
303,1042.975,1042.525,1042.45,1042.775,1042.65,1042.4
304,1042.925,1042.775,1042.525,1042.65,1042.35,1042.475
305,1042.725,1042.65,1042.775,1042.35,1042.35,1042.475
306,1042.85,1042.35,1042.65,1042.35,1042.4,1042.475
307,1042.425,1042.35,1042.35,1042.4,1042.475,1042.3
308,1042.55,1042.4,1042.35,1042.475,1042.475,1042.3
309,1042.625,1042.475,1042.4,1042.475,1042.475,1042.175
310,1042.125,1042.475,1042.475,1042.475,1042.3,1042.975
311,1041.525,1042.475,1042.475,1042.3,1042.3,1043.05
312,1041.6,1042.3,1042.475,1042.3,1042.175,1042.8
313,1041.4,1042.3,1042.3,1042.175,1042.975,1042.975
314,1041.475,1042.175,1042.3,1042.975,1043.05,1042.925
315,1041.6,1042.975,1042.175,1043.05,1042.8,1042.725
316,1042.175,1043.05,1042.975,1042.8,1042.975,1042.85
317,1041.9,1042.8,1043.05,1042.975,1042.925,1042.425
318,1041.475,1042.975,1042.8,1042.925,1042.725,1042.55
319,1041.4,1042.925,1042.975,1042.725,1042.85,1042.625
320,1042.225,1042.725,1042.925,1042.85,1042.425,1042.125
321,1042.425,1042.85,1042.725,1042.425,1042.55,1041.525
322,1042.35,1042.425,1042.85,1042.55,1042.625,1041.6
323,1042.3,1042.55,1042.425,1042.625,1042.125,1041.4
324,1042.6,1042.625,1042.55,1042.125,1041.525,1041.475
325,1042.3,1042.125,1042.625,1041.525,1041.6,1041.6
326,1042.475,1041.525,1042.125,1041.6,1041.4,1042.175
327,1042.8,1041.6,1041.525,1041.4,1041.475,1041.9
328,1042.55,1041.4,1041.6,1041.475,1041.6,1041.475
329,1042.85,1041.475,1041.4,1041.6,1042.175,1041.4
330,1042.925,1041.6,1041.475,1042.175,1041.9,1042.225
331,1042.925,1042.175,1041.6,1041.9,1041.475,1042.425
332,1043.3,1041.9,1042.175,1041.475,1041.4,1042.35
333,1043.425,1041.475,1041.9,1041.4,1042.225,1042.3
334,1043.225,1041.4,1041.475,1042.225,1042.425,1042.6
335,1043.05,1042.225,1041.4,1042.425,1042.35,1042.3
336,1042.925,1042.425,1042.225,1042.35,1042.3,1042.475
337,1042.55,1042.35,1042.425,1042.3,1042.6,1042.8
338,1042.35,1042.3,1042.35,1042.6,1042.3,1042.55
339,1042.475,1042.6,1042.3,1042.3,1042.475,1042.85
340,1042.85,1042.3,1042.6,1042.475,1042.8,1042.925
341,1043.35,1042.475,1042.3,1042.8,1042.55,1042.925
342,1043.725,1042.8,1042.475,1042.55,1042.85,1043.3
343,1043.55,1042.55,1042.8,1042.85,1042.925,1043.425
344,1043.375,1042.85,1042.55,1042.925,1042.925,1043.225
345,1043.55,1042.925,1042.85,1042.925,1043.3,1043.05
346,1043.8,1042.925,1042.925,1043.3,1043.425,1042.925
347,1043.625,1043.3,1042.925,1043.425,1043.225,1042.55
348,1043.675,1043.425,1043.3,1043.225,1043.05,1042.35
349,1043.5,1043.225,1043.425,1043.05,1042.925,1042.475
350,1043.75,1043.05,1043.225,1042.925,1042.55,1042.85
351,1043.625,1042.925,1043.05,1042.55,1042.35,1043.35
352,1043.5,1042.55,1042.925,1042.35,1042.475,1043.725
353,1043.225,1042.35,1042.55,1042.475,1042.85,1043.55
354,1043.25,1042.475,1042.35,1042.85,1043.35,1043.375
355,1043.05,1042.85,1042.475,1043.35,1043.725,1043.55
356,1043.1,1043.35,1042.85,1043.725,1043.55,1043.8
357,1043.05,1043.725,1043.35,1043.55,1043.375,1043.625
358,1043.1,1043.55,1043.725,1043.375,1043.55,1043.675
359,1042.975,1043.375,1043.55,1043.55,1043.8,1043.5
360,1042.925,1043.55,1043.375,1043.8,1043.625,1043.75
361,1043.1,1043.8,1043.55,1043.625,1043.675,1043.625
362,1043.3,1043.625,1043.8,1043.675,1043.5,1043.5
363,1043.425,1043.675,1043.625,1043.5,1043.75,1043.225
364,1043.225,1043.5,1043.675,1043.75,1043.625,1043.25
365,1043.35,1043.75,1043.5,1043.625,1043.5,1043.05
366,1043.6,1043.625,1043.75,1043.5,1043.225,1043.1
367,1043.6,1043.5,1043.625,1043.225,1043.25,1043.05
368,1043.8,1043.225,1043.5,1043.25,1043.05,1043.1
369,1043.725,1043.25,1043.225,1043.05,1043.1,1042.975
370,1043.8,1043.05,1043.25,1043.1,1043.05,1042.925
371,1043.675,1043.1,1043.05,1043.05,1043.1,1043.1
372,1043.6,1043.05,1043.1,1043.1,1042.975,1043.3
373,1043.6,1043.1,1043.05,1042.975,1042.925,1043.425
374,1043.6,1042.975,1043.1,1042.925,1043.1,1043.225
375,1043.8,1042.925,1042.975,1043.1,1043.3,1043.35
376,1043.6,1043.1,1042.925,1043.3,1043.425,1043.6
377,1043.6,1043.3,1043.1,1043.425,1043.225,1043.6
378,1043.475,1043.425,1043.3,1043.225,1043.35,1043.8
379,1043.175,1043.225,1043.425,1043.35,1043.6,1043.725
380,1043.175,1043.35,1043.225,1043.6,1043.6,1043.8
381,1043.1,1043.6,1043.35,1043.6,1043.8,1043.675
382,1043.1,1043.6,1043.6,1043.8,1043.725,1043.6
383,1043.05,1043.8,1043.6,1043.725,1043.8,1043.6
384,1043.1,1043.725,1043.8,1043.8,1043.675,1043.6
385,1043.3,1043.8,1043.725,1043.675,1043.6,1043.8
386,1043.3,1043.675,1043.8,1043.6,1043.6,1043.6
387,1043.225,1043.6,1043.675,1043.6,1043.6,1043.6
388,1043.35,1043.6,1043.6,1043.6,1043.8,1043.475
389,1043.425,1043.6,1043.6,1043.8,1043.6,1043.175
390,1043.55,1043.8,1043.6,1043.6,1043.6,1043.175
391,1043.55,1043.6,1043.8,1043.6,1043.475,1043.1
392,1043.55,1043.6,1043.6,1043.475,1043.175,1043.1
393,1043.55,1043.475,1043.6,1043.175,1043.175,1043.05
394,1043.675,1043.175,1043.475,1043.175,1043.1,1043.1
395,1043.65,1043.175,1043.175,1043.1,1043.1,1043.3
396,1043.825,1043.1,1043.175,1043.1,1043.05,1043.3
397,1043.775,1043.1,1043.1,1043.05,1043.1,1043.225
398,1043.9,1043.05,1043.1,1043.1,1043.3,1043.35
399,1044.025,1043.1,1043.05,1043.3,1043.3,1043.425
400,1043.825,1043.3,1043.1,1043.3,1043.225,1043.55
401,1043.9,1043.3,1043.3,1043.225,1043.35,1043.55
402,1043.95,1043.225,1043.3,1043.35,1043.425,1043.55
403,1044.075,1043.35,1043.225,1043.425,1043.55,1043.55
404,1043.95,1043.425,1043.35,1043.55,1043.55,1043.675
405,1044.075,1043.55,1043.425,1043.55,1043.55,1043.65
406,1044.275,1043.55,1043.55,1043.55,1043.55,1043.825
407,1044.15,1043.55,1043.55,1043.55,1043.675,1043.775
408,1044.45,1043.55,1043.55,1043.675,1043.65,1043.9
409,1044.2,1043.675,1043.55,1043.65,1043.825,1044.025
410,1044.25,1043.65,1043.675,1043.825,1043.775,1043.825
411,1044.425,1043.825,1043.65,1043.775,1043.9,1043.9
412,1044.5,1043.775,1043.825,1043.9,1044.025,1043.95
413,1044.55,1043.9,1043.775,1044.025,1043.825,1044.075
414,1044.625,1044.025,1043.9,1043.825,1043.9,1043.95
415,1044.875,1043.825,1044.025,1043.9,1043.95,1044.075
416,1044.875,1043.9,1043.825,1043.95,1044.075,1044.275
417,1044.8,1043.95,1043.9,1044.075,1043.95,1044.15
418,1044.875,1044.075,1043.95,1043.95,1044.075,1044.45
419,1045.0,1043.95,1044.075,1044.075,1044.275,1044.2
420,1045.05,1044.075,1043.95,1044.275,1044.15,1044.25
421,1045.175,1044.275,1044.075,1044.15,1044.45,1044.425
422,1045.0,1044.15,1044.275,1044.45,1044.2,1044.5
423,1045.25,1044.45,1044.15,1044.2,1044.25,1044.55
424,1045.3,1044.2,1044.45,1044.25,1044.425,1044.625
425,1045.3,1044.25,1044.2,1044.425,1044.5,1044.875
426,1045.425,1044.425,1044.25,1044.5,1044.55,1044.875
427,1045.425,1044.5,1044.425,1044.55,1044.625,1044.8
428,1045.425,1044.55,1044.5,1044.625,1044.875,1044.875
429,1045.55,1044.625,1044.55,1044.875,1044.875,1045.0
430,1045.675,1044.875,1044.625,1044.875,1044.8,1045.05
431,1045.5,1044.875,1044.875,1044.8,1044.875,1045.175
432,1045.675,1044.8,1044.875,1044.875,1045.0,1045.0
